Neighborhood,Date,Rent,permits_trailing6,employment_growth,median_income,renter_rate,covid,month,rent_lag1,rent_lag12,rent_yoy_growth
Los Feliz,2023-05-31,2586.847848155164,313.0,0.4685235871840332,90532.0,0.797,0,5,2565.768516837494,2483.458872143071,4.163104014799912
Los Feliz,2023-06-30,2576.2533385893953,311.0,-0.3124949920674358,90532.0,0.797,0,6,2586.847848155164,2513.4673898701467,2.497981432832219
Los Feliz,2023-07-31,2597.9027208048183,312.0,-0.8938044561617953,90532.0,0.797,0,7,2576.2533385893953,2550.704848959063,1.8503854675705256
Los Feliz,2023-08-31,2591.6337179518414,320.0,0.2789943227899494,90532.0,0.797,0,8,2597.9027208048183,2558.682352194248,1.2878255766815006
Los Feliz,2023-09-30,2608.529608050985,319.0,0.53217301284334,90532.0,0.797,0,9,2591.6337179518414,2565.5568318730934,1.6749882771654567
Los Feliz,2023-10-31,2595.3139949640517,340.0,0.859197760293462,90532.0,0.797,0,10,2608.529608050985,2540.7696176875575,2.1467659600769684
Los Feliz,2023-11-30,2610.6073048993353,326.0,0.5695142378559392,90532.0,0.797,0,11,2595.3139949640517,2517.5514637044394,3.6962835730066645
Los Feliz,2023-12-31,2596.0865850751757,312.0,0.420354684178803,90532.0,0.797,0,12,2610.6073048993353,2501.594254903753,3.7772844251698245
Los Feliz,2024-01-31,2599.62281838632,323.0,-1.123098551502988,90532.0,0.797,0,1,2596.0865850751757,2507.984263166673,3.653872815929904
Los Feliz,2024-02-29,2586.366457177294,310.0,0.2044859096427709,90532.0,0.797,0,2,2599.62281838632,2511.0169770335815,3.000755503960284
Los Feliz,2024-03-31,2586.897425190865,309.0,0.1004400229577262,90532.0,0.797,0,3,2586.366457177294,2555.429010714475,1.2314337179568646
Los Feliz,2024-04-30,2586.2588313910933,300.0,-0.0525586506760933,90532.0,0.797,0,4,2586.897425190865,2565.768516837494,0.7986033977396723
Los Feliz,2024-05-31,2614.9950263181336,296.0,0.1099531503967909,90532.0,0.797,0,5,2586.2588313910933,2586.847848155164,1.088087889786138
Los Feliz,2024-06-30,2636.9070097739395,303.0,-0.6287506168123125,90532.0,0.797,0,6,2614.9950263181336,2576.2533385893953,2.3543364418405544
Los Feliz,2024-07-31,2647.966126561565,298.0,-0.2899340039725806,90532.0,0.797,0,7,2636.9070097739395,2597.9027208048183,1.9270700690916298
Los Feliz,2024-08-31,2641.7265019528045,305.0,0.2811380468135116,90532.0,0.797,0,8,2647.966126561565,2591.6337179518414,1.9328651133830421
Los Feliz,2024-09-30,2646.9036834055723,294.0,0.437345807567846,90532.0,0.797,0,9,2641.7265019528045,2608.529608050985,1.4710998577953216
Los Feliz,2024-10-31,2644.987952064643,307.0,1.4371161974639168,90532.0,0.797,0,10,2646.9036834055723,2595.3139949640517,1.9139864076939794
Los Feliz,2024-11-30,2625.3015136495055,300.0,0.5173281338448854,90532.0,0.797,0,11,2644.987952064643,2610.6073048993353,0.5628655341074706
Los Feliz,2024-12-31,2618.3260632485167,289.0,-0.5756746186937889,90532.0,0.797,0,12,2625.3015136495055,2596.0865850751757,0.8566539460276523
Los Feliz,2025-01-31,2640.738958853258,285.0,-2.0957565649731724,90532.0,0.797,0,1,2618.3260632485167,2599.62281838632,1.5816194632596758
Los Feliz,2025-02-28,2663.7337536056752,269.0,0.6219365206910465,90532.0,0.797,0,2,2640.738958853258,2586.366457177294,2.9913509051930243
Los Feliz,2025-03-31,2646.345207023765,288.0,0.0734683447262574,90532.0,0.797,0,3,2663.7337536056752,2586.897425190865,2.2980339790053206
Los Feliz,2025-04-30,2632.186077454411,271.0,0.7261642567589099,90532.0,0.797,0,4,2646.345207023765,2586.2588313910933,1.7758178534131641
Los Feliz,2025-05-31,2659.8119943751085,275.0,0.1980574525058287,90532.0,0.797,0,5,2632.186077454411,2614.9950263181336,1.7138452504086077
Los Feliz,2025-06-30,2688.510503688723,281.0,-0.814383756602044,90532.0,0.797,0,6,2659.8119943751085,2636.9070097739395,1.95697056147639
Los Feliz,2025-07-31,2698.444301408787,288.0,-0.787589879310624,90532.0,0.797,0,7,2688.510503688723,2647.966126561565,1.906299870715067
Los Feliz,2025-08-31,2682.9277944994715,280.0,0.4499509874817287,90532.0,0.797,0,8,2698.444301408787,2641.7265019528045,1.5596350536745796
Los Feliz,2025-09-30,2687.186537518142,254.0,0.0159976963317376,90532.0,0.797,0,9,2682.9277944994715,2646.9036834055723,1.5218859063560908
Los Feliz,2025-10-31,2678.5400926621446,273.0,1.0332858810921497,90532.0,0.797,0,10,2687.186537518142,2644.987952064643,1.2685177099317713
Los Feliz,2025-11-30,2673.3064631526345,273.0,0.3467109950130442,90532.0,0.797,0,11,2678.5400926621446,2625.3015136495055,1.828549949540692
Los Feliz,2025-12-31,2668.794811201853,278.0,-0.0110437965417098,90532.0,0.797,0,12,2673.3064631526345,2618.3260632485167,1.9275195958871727
Mar Vista,2019-01-31,2581.8213037920987,0.0,,83899.0,0.6363,0,1,,,
Mar Vista,2019-02-28,2622.069588127874,0.0,0.8200448182910547,83899.0,0.6363,0,2,2581.8213037920987,,
Mar Vista,2019-03-31,2661.303230507323,0.0,0.1562323835907708,83899.0,0.6363,0,3,2622.069588127874,,
Mar Vista,2019-04-30,2680.003615633862,0.0,-0.0675414897722825,83899.0,0.6363,0,4,2661.303230507323,,
Mar Vista,2019-05-31,2682.797655469407,0.0,0.1914968942100525,83899.0,0.6363,0,5,2680.003615633862,,
Mar Vista,2019-06-30,2671.317703532959,0.0,0.1204606414930697,83899.0,0.6363,0,6,2682.797655469407,,
Mar Vista,2019-07-31,2697.1964878590857,0.0,-0.9737551334702332,83899.0,0.6363,0,7,2671.317703532959,,
Mar Vista,2019-08-31,2724.01788690729,0.0,0.4260558246529156,83899.0,0.6363,0,8,2697.1964878590857,,
Mar Vista,2019-09-30,2720.755962537318,0.0,0.6049167634533559,83899.0,0.6363,0,9,2724.01788690729,,
Mar Vista,2019-10-31,2684.372342467062,0.0,0.8626356887456499,83899.0,0.6363,0,10,2720.755962537318,,
Mar Vista,2019-11-30,2680.639056393505,0.0,0.902948891185118,83899.0,0.6363,0,11,2684.372342467062,,
Mar Vista,2019-12-31,2673.7161663678744,0.0,0.004726419107337,83899.0,0.6363,0,12,2680.639056393505,,
Mar Vista,2020-01-31,2694.1902673545624,82.0,-1.435188102589957,87589.0,0.6358,0,1,2673.7161663678744,2581.8213037920987,4.352313748338021
Mar Vista,2020-02-29,2701.689660696775,176.0,0.7975705266522803,87589.0,0.6358,0,2,2694.1902673545624,2622.069588127874,3.036535450065947
Mar Vista,2020-03-31,2733.1092376852316,236.0,-1.2907522516808267,87589.0,0.6358,1,3,2701.689660696775,2661.303230507323,2.6981520314849794
Mar Vista,2020-04-30,2690.6968075343457,270.0,-15.616064257028118,87589.0,0.6358,1,4,2733.1092376852316,2680.003615633862,0.3989991594826492
Mar Vista,2020-05-31,2664.39592045921,317.0,0.8776104627919779,87589.0,0.6358,1,5,2690.6968075343457,2682.797655469407,-0.6859158748957928
Mar Vista,2020-06-30,2660.234071880114,372.0,3.093036421966411,87589.0,0.6358,1,6,2664.39592045921,2671.317703532959,-0.4149125219432559
Mar Vista,2020-07-31,2656.7686757792717,342.0,-0.5711252265280353,87589.0,0.6358,1,7,2660.234071880114,2697.1964878590857,-1.4988827199572619
Mar Vista,2020-08-31,2634.7450400560188,305.0,0.5744058029714338,87589.0,0.6358,1,8,2656.7686757792717,2724.01788690729,-3.2772489226429835
